Chr,Pos,cM
1,3036178,0
1,4154484,0
1,4508795,0.013263372812315
1,4532877,0.37582851764923
1,4540081,0.49665274504782
1,4979479,0.513101287393346
1,5024092,0.635325893311191
1,5404603,0.649570043936452
1,6271601,0.755339743674183
1,6441424,0.8966119060892
1,6651240,0.922208476462109
1,6664601,1.04439300688678
1,6805530,1.06158568554848
1,6810544,1.18275192102471
1,6814917,1.18328540656557
1,6830254,1.3057109997455
1,7374917,1.32610006027728
1,8916100,1.32610006027728
1,9025890,1.44665461121157
1,9807209,1.44665461121157
1,9837557,1.56720916214587
1,9952456,1.56720916214587
1,9962982,1.68776371308017
1,10103309,1.68776371308017
1,10238279,1.80831826401447
1,10606537,1.80831826401447
1,10624447,1.92887281494876
1,10733791,1.92887281494876
1,10955557,2.04942736588306
1,11232807,2.04942736588306
1,11238162,2.04981224405007
1,11264325,2.05357907610829
1,11467556,2.16523748960235
1,11513041,2.19223661362888
1,11543004,2.3305766928298
1,11561667,2.34165473288053
1,11586129,2.46681162125082
1,11827604,2.51224328801383
1,12142283,2.81255682705114
1,12388729,2.85892374928771
1,12393342,2.98034620074496
1,12720081,3.04181963429492
1,12741095,3.16632780794527
1,12796820,3.17681203873673
1,12822390,3.21954408018888
1,12878109,3.68063370203714
1,12884801,3.72608731118658
1,12910142,3.80031069476965
1,12910359,3.80091504160576
1,14197086,3.85774562989753
1,14220694,3.86269866769211
1,14248262,3.98903707773862
1,14558862,4.05420200229796
1,14665593,4.15332896588589
1,14725172,4.31027920912748
1,14726543,4.31411910436872
1,14738211,4.33841009630685
1,14806959,4.49318775966473
1,14985406,4.59058601422086
1,15002652,4.72055361383669
1,15094577,4.77072724830559
1,15095743,4.89191821433688
1,15449322,5.08490536148813
1,15555407,5.10716235125592
1,15555950,5.10940495297963
1,15581646,5.33608453870622
1,15586159,5.35472332614464
1,15644317,5.36692507013215
1,15784326,5.37297388941995
1,15928240,5.46931207102098
1,15934088,5.48730378362694
1,15976840,5.64801710606371
1,15978322,5.65266019462006
1,16041879,5.6987927205809
1,16110688,5.86929193502732
1,16178334,5.8722144502195
1,16229120,5.99496311250628
1,16590884,6.01059242962752
1,16629188,6.13280183113571
1,16987502,6.14828209764918
1,17556666,6.14828209764918
1,17606281,6.26883664858348
1,17978650,6.26883664858348
1,18020371,6.38939119951778
1,18096287,6.38939119951778
1,18172311,6.50994575045208
1,18756067,6.50994575045208
1,18756333,6.51113049610356
1,18783134,6.73000393600157
1,18788804,6.75105485232067
1,19046863,6.75105485232067
1,19140382,6.7733552432725
1,19322449,6.93732519941244
1,19552421,6.99216395418927
1,19896613,6.99216395418927
1,19952006,7.11271850512357
1,20436829,7.11271850512357
1,20735969,7.17280200657845
1,20747946,7.29576218730791
1,20968252,7.34001155506722
1,21282207,7.52362526124411
1,21598303,7.58711444515761
1,21637248,7.70955506211832
1,21639265,7.71549125979505
1,21782260,7.71549125979505
1,21783077,7.95660036166365
1,22027276,7.95660036166365
1,22052212,8.07715491259795
1,22064920,8.08225521100153
1,22094567,8.42139231856737
1,22099505,8.45779939734925
1,22101658,8.4586634941751
1,22157847,8.60176924647851
1,22352588,8.67992766726944
1,22421239,8.67992766726944
1,22491082,8.6810100801223
1,22510918,8.68344629029676
1,22551386,8.80897102440002
1,22628739,8.81847133523005
1,22647726,8.94135782418524
1,22837643,8.96468297682194
1,22949595,9.01601210935528
1,23050176,9.18268227661922
1,23196784,9.249900919095
1,23517292,9.28926494665063
1,23546116,9.41335959246638
1,23769094,9.44074521821145
1,24362139,9.45763980372011
1,24364264,9.46655269955742
1,24383077,9.66601469020343
1,24391078,9.69957331589489
1,24530990,9.7035591099707
1,24558388,9.82489417141224
1,25284063,9.84556710236857
1,25284504,9.84708463514144
1,25319389,10.0876825665329
1,25428433,10.0907889972122
1,25459333,10.1120715836161
1,25477523,10.2451546214981
1,25483776,10.2494614180283
1,25531194,10.4026754408752
1,25568064,10.4280699056231
1,25586745,10.6728754431106
1,25588283,10.6831049820709
1,25591358,10.6852229093587
1,25611017,10.7158172131415
1,25730327,10.8227166181356
1,25858600,10.8263708419584
1,25865267,10.9471153214842
1,26416283,10.9628125905425
1,26452053,11.0843861523843
1,30020454,11.1860422759899
1,30042084,11.3072130194299
1,30200056,11.3117133043357
1,30520371,11.3158742167611
1,30535858,11.3265168028134
1,30699181,11.5593060720156
1,30928745,11.5622881231216
1,30979881,11.6835069339807
1,31372739,11.6886101846359
1,31459090,11.7438326075214
1,31479910,11.877701779531
1,31565158,11.9322188216745
1,31712107,11.9341276986238
1,31725268,12.0548532117935
1,31771602,12.0554550934298
1,32401169,12.0554550934298
1,32453140,12.1760096443641
1,32555265,12.1760096443641
1,32912190,12.1916982150835
1,32914193,12.193148005489
1,32915029,12.3143076611557
1,32991627,12.3697500203574
1,32991913,12.37683624008
1,32996639,12.6144868553824
1,33089514,12.6817106616287
1,33753811,12.7109097103454
1,33788247,12.8329778891324
1,33855319,12.8359260261788
1,33874769,12.9573354981763
1,33949757,12.9606315815022
1,33956219,13.0814701684217
1,34231559,13.0935726859306
1,34235468,13.214299056219
1,34273171,13.2159562844373
1,34277506,13.3065002134473
1,34278955,13.3397244537401
1,34336533,13.4598504510056
1,34424288,13.4637077053965
1,34438718,13.5848965242456
1,34507832,13.587934417015
1,34541351,13.697771052674
1,34545122,13.782105752073
1,34547667,13.8307944587578
1,34570201,13.8317849364564
1,34607074,13.9539602331164
1,35198202,13.9799431523074
1,35207658,14.1272228285774
1,35230013,14.1904038963524
1,35241531,14.2326996648085
1,35246485,14.2371079265931
1,35293776,14.3997438477446
1,35297958,14.403465153918
1,35307891,14.4118673203269
1,35333325,14.5410538483034
1,35336368,14.5658667954722
1,35372532,14.7076552139843
1,35661005,14.7076552139843
1,35671399,14.8282097649186
1,36197718,14.8282097649186
1,36201122,14.9487643158529
1,36489376,14.9487643158529
1,36537606,15.0693188667872
1,36555210,15.0693188667872
1,36596873,15.2221529914415
1,36608465,15.3207231071126
1,36620937,15.5473306672472
1,36621807,15.5515370705244
1,36778664,15.5515370705244
1,36792824,15.6720916214587
1,37468737,15.6720916214587
1,37495609,15.792646172393
1,37496637,15.792646172393
1,37499244,15.8032750646209
1,37521185,16.0132843621495
1,37526206,16.0337552742616
1,37636205,16.0337552742616
1,37671184,16.1542099599657
1,37671213,16.1548406606009
1,37677770,16.2748643761302
1,37946787,16.2748643761302
1,38220454,16.3954189270645
1,38466093,16.3954189270645
1,38487550,16.5159734779988
1,38644647,16.5159734779988
1,38692360,16.6378021578126
1,38739075,16.8676208904369
1,38743308,16.8776371308017
1,39030101,16.8776371308017
1,39077591,16.9261006052235
1,39081908,17.0631809583652
1,39120530,17.2110288927774
1,39130297,17.220996101762
1,39135265,17.346620489313
1,39148234,17.3598553345389
1,39287739,17.3598553345389
1,39311591,17.4601681602456
1,39316404,17.5271761507788
1,39323998,17.6009644364075
1,39625173,17.6009644364075
1,39629734,17.6093990016293
1,39640884,17.7505730224657
1,39690363,17.8420735382761
1,39946479,17.8420735382761
1,39952893,17.9626280892104
1,40141820,17.9626280892104
1,40175196,18.1964094718641
